Priority,Category,What,Date,Time,Link,Map Link,Comments/Notes,Booked?
1,Hakone Open Air Museum,,,,,,,
2,Hakone Shrine,,,,,,,
1,"Owakudani Information Cente
",,,,,,,
1,Hakone Ropeway,,,,,,,
1,,,,,,,,
1,,,,,,,,
1,,,,,,,,
2,,,,,,,,
1,,,,,,,,
3,,,,,,,,
3,,,,,,,,
3,,,,,,,,
3,,,,,,,,
3,,,,,,,,
3,,,,,,,,
